Title,Creator,Date,Date Approx,Description,Camp Number,Company Number,Keywords (separate with semi-colon and a space),Source,Geographic Location (place depicted or described in the material),Latitude,Longitude,Format Original,Digital Collection (we will fill this in) ,Digital Format,Type,Contributing Institution,Language,Identifier,Rights,Filename (ends in .pdf or .jpg)
Camp construction of administrative building,,1935-01-01,yes,Construction of a building frame is underway  at a CCC tent camp.,,,construction; camps; tents,Cadwaladr Jones Jr. family,United States -- Idaho -- Shoshone County -- Prichard,47.656245,-115.976204,photographic print,Civilian Conservation Corps in Idaho,image/jpg,image; still image,Cadwaladr Jones Jr. family,eng,Cadwaladr_004,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to the University of Idaho Library by contributing institution. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. http://rightsstatements.org/vocab/InC-EDU/1.0/",Cadwaladr_004.jpg
Fire squad returning to camp,,1935-01-01,yes,"CCC enrollees in the fire squad returning to camp after a days work. The back of the photograph reads: ""Fire squad returning to camp. I am second from the head of the column, Cadwaladr Jones, Jr."" The men in the squad can be seen standing on a dirt path surrounded by fallen trees.",,,men; forests; logs,Cadwaladr Jones Jr. family,United States -- Idaho -- Shoshone County -- Prichard,47.656245,-115.976204,photographic print,Civilian Conservation Corps in Idaho,image/jpg,image; still image,Cadwaladr Jones Jr. family,eng,Cadwaladr_005a,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to the University of Idaho Library by contributing institution. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. http://rightsstatements.org/vocab/InC-EDU/1.0/",Cadwaladr_005a.jpg
Camp Moscow staff portrait,,1935-01-01,yes,"A group portrait of the Camp Moscow staff and administrative personnel. The back of the photograph reads: ""Overhead Staff Camp Moscow, C 1503, SCS-1, Cadwaladr Jones Jr., 2nd from left""",SCS-1,C-1503,men; camps,Cadwaladr Jones Jr. family,United States -- Idaho -- Latah County -- Moscow,46.739642,-117.013912,photographic print,Civilian Conservation Corps in Idaho,image/jpg,image; still image,Cadwaladr Jones Jr. family,eng,Cadwaladr_006a,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to the University of Idaho Library by contributing institution. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. http://rightsstatements.org/vocab/InC-EDU/1.0/",Cadwaladr_006a.jpg
Enrollees with dinner and mess kits,,1935-01-01,yes,"Two enrollees with mess kits. The back of the photograph reads: ""CCC 'diner'!"" The men can be seen holding bowls and plates. ",,,camps; men; dishes,Cadwaladr Jones Jr. family,United States -- Idaho -- Latah County -- Moscow,46.739642,-117.013912,photographic print,Civilian Conservation Corps in Idaho,image/jpg,image; still image,Cadwaladr Jones Jr. family,eng,Cadwaladr_007a,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to the University of Idaho Library by contributing institution. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. http://rightsstatements.org/vocab/InC-EDU/1.0/",Cadwaladr_007a.jpg
Camp cook staff,,1935-01-01,yes,Three men dressed as the Camp cook staff pose for a group photo. ,,,cooks; men; camps,Cadwaladr Jones Jr. family,United States -- Idaho -- Latah County -- Moscow,46.739642,-117.013912,photographic print,Civilian Conservation Corps in Idaho,image/jpg,image; still image,Cadwaladr Jones Jr. family,eng,Cadwaladr_008,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to the University of Idaho Library by contributing institution. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. http://rightsstatements.org/vocab/InC-EDU/1.0/",Cadwaladr_008.jpg
Shirtless enrollees in a doorway,,1935-01-01,yes,"Two shirtless enrollees sit in the doorway of a building. The back of the photograph reads: ""just two mugs, """,,,camps; buildings; men,Cadwaladr Jones Jr. family,United States -- Idaho -- Latah County -- Moscow,46.739642,-117.013912,photographic print,Civilian Conservation Corps in Idaho,image/jpg,image; still image,Cadwaladr Jones Jr. family,eng,Cadwaladr_009a,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to the University of Idaho Library by contributing institution. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. http://rightsstatements.org/vocab/InC-EDU/1.0/",Cadwaladr_009a.jpg
Personnel of Elk Basin Camp F-139,,1935-01-01,yes,"Personnel of Elk Basin Camp. The men, who are all wearing ties, are standing with their arms around each other. Names read as subjects appear, left to right: Penalta, B.B, Capt.; Gallagher, Hiram, Dr.; Field, E.W, E.A.; Matthews, H.E., Camp Sgt; Mansfield, W.C., Lt.",F-139,C-1503,camps; men; personnel,Cadwaladr Jones Jr. family,United States -- Idaho -- Latah County -- Bovill,46.861330,116.388259,photographic print,Civilian Conservation Corps in Idaho,image/jpg,image; still image,Cadwaladr Jones Jr. family,eng,Cadwaladr_010a,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to the University of Idaho Library by contributing institution. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. http://rightsstatements.org/vocab/InC-EDU/1.0/",Cadwaladr_010a.jpg
Postcard of a man outside of a tent,,1935-01-01,yes,"A postcard showing one of the camp personnel from the Elk Basin Camp. The man can be seen standing in front of a tent. Names read as subjects appear: Gallagher, Hiram, Dr.",F-139,C-1503,personnel; men; tents,Cadwaladr Jones Jr. family,United States -- Idaho -- Latah County -- Bovill,46.861330,116.388259,photographic print,Civilian Conservation Corps in Idaho,image/jpg,image; still image,Cadwaladr Jones Jr. family,eng,Cadwaladr_011a,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to the University of Idaho Library by contributing institution. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. http://rightsstatements.org/vocab/InC-EDU/1.0/",Cadwaladr_011a.jpg
Camp Superintendent H. E. Matthews,,1935-01-01,yes,Camp Superintendent H. E. Matthews of Camp F-139 stands on a downed log wearing a tank top and shorts and hiking boots. ,F-139,C-1503,superintendents; men; logs,Cadwaladr Jones Jr. family,United States -- Idaho -- Latah County -- Bovill,46.861330,116.388259,postcard,Civilian Conservation Corps in Idaho,image/jpg,image; still image,Cadwaladr Jones Jr. family,eng,Cadwaladr_012a,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to the University of Idaho Library by contributing institution. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. http://rightsstatements.org/vocab/InC-EDU/1.0/",Cadwaladr_012a.jpg
Man drinking from stream,,1935-01-01,yes,"A man identified as Mr. Field bends down to drink water from a stream. The back of the photographs reads: ""Mr. Field-in a most ungentlemanly position!""",,,personnel; streams,Cadwaladr Jones Jr. family,United States -- Idaho -- Latah County -- Bovill,46.861330,116.388259,photographic print,Civilian Conservation Corps in Idaho,image/jpg,image; still image,Cadwaladr Jones Jr. family,eng,Cadwaladr_013a,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to the University of Idaho Library by contributing institution. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. http://rightsstatements.org/vocab/InC-EDU/1.0/",Cadwaladr_013a.jpg
