name,description,icon_color,long,lat,pic_url,thumb_url,
"Hecla Mine, Burke ",View up canyon at Hecla Mine,B,-115.823171,47.519908,https://raw.githubusercontent.com/uidaholib/cdil-coll/master/images/cdil-bs01.jpg,https://raw.githubusercontent.com/uidaholib/cdil-coll/master/images/cdil-bs01_sm.jpg,47.519908
"Morrow Retail Store, Wallace",Store display window,B,-115.926844,47.472385,https://raw.githubusercontent.com/uidaholib/cdil-coll/master/images/cdil-bs11.jpg,https://raw.githubusercontent.com/uidaholib/cdil-coll/master/images/cdil-bs11_sm.jpg,47.472385
"Golconda Mine, Wallace",Group of men and lumber,B,-115.900816,47.486931,https://raw.githubusercontent.com/uidaholib/cdil-coll/master/images/cdil-bs12.jpg,https://raw.githubusercontent.com/uidaholib/cdil-coll/master/images/cdil-bs12_sm.jpg,47.486931
"Wallace, Idaho Bird's-eye view",bird's-eye view of Wallace looking east,B,-115.926844,47.472385,https://raw.githubusercontent.com/uidaholib/cdil-coll/master/images/cdil-bs13.jpg,https://raw.githubusercontent.com/uidaholib/cdil-coll/master/images/cdil-bs13_sm.jpg,47.472385
Manual Training,training ,R,-115.925669,47.471731,https://raw.githubusercontent.com/uidaholib/cdil-coll/master/images/cdil-bs08.jpg,https://raw.githubusercontent.com/uidaholib/cdil-coll/master/images/cdil-bs08_sm.jpg,47.471731
"Morning Mill, Mullan",Mill ,R,-115.822999,47.495166,https://raw.githubusercontent.com/uidaholib/cdil-coll/master/images/cdil-bs09.jpg,https://raw.githubusercontent.com/uidaholib/cdil-coll/master/images/cdil-bs09_sm.jpg,47.495166
"Morning Mill, Mullan",Mill ,R,-115.822999,47.495166,https://raw.githubusercontent.com/uidaholib/cdil-coll/master/images/cdil-bs10.jpg,https://raw.githubusercontent.com/uidaholib/cdil-coll/master/images/cdil-bs10_sm.jpg,47.495166
Jack Ass Prairie,"Jack Ass Prairie, Milo Gulch",G,-116.129338,47.527708,https://raw.githubusercontent.com/uidaholib/cdil-coll/master/images/cdil-bs05.jpg,https://raw.githubusercontent.com/uidaholib/cdil-coll/master/images/cdil-bs05_sm.jpg,47.527708
Wallace Fire Dept.,"Wallace, Idaho Fire Dept.",G,-115.922248,47.472456,https://raw.githubusercontent.com/uidaholib/cdil-coll/master/images/cdil-bs06.jpg,https://raw.githubusercontent.com/uidaholib/cdil-coll/master/images/cdil-bs06_sm.jpg,47.472456
Silver Cliff Mine,Near Silver Cliff Mine Above Pottsville,G,-116.694533,47.462326,https://raw.githubusercontent.com/uidaholib/cdil-coll/master/images/cdil-bs07.jpg,https://raw.githubusercontent.com/uidaholib/cdil-coll/master/images/cdil-bs07_sm.jpg,47.462326
"Northern Pacific Railroad, Wallace, Idaho",Wreck of N.P. Train in Wallace,P,-115.923761,47.473562,https://raw.githubusercontent.com/uidaholib/cdil-coll/master/images/cdil-bs02.jpg,https://raw.githubusercontent.com/uidaholib/cdil-coll/master/images/cdil-bs02_sm.jpg,47.473562
Dog ,Comic Pose of dog wearing eyeglasses and holding pipe in mouth; taken for Ernest R. Denny,P,-115.923846,47.472197,https://raw.githubusercontent.com/uidaholib/cdil-coll/master/images/cdil-bs03.jpg,https://raw.githubusercontent.com/uidaholib/cdil-coll/master/images/cdil-bs03_sm.jpg,47.472197
"Brayton, H. L. -Woman in casket",woman in casket,P,-115.923909,47.472113,https://raw.githubusercontent.com/uidaholib/cdil-coll/master/images/cdil-bs04.jpg,https://raw.githubusercontent.com/uidaholib/cdil-coll/master/images/cdil-bs04_sm.jpg,47.472113
