name,description,icon_color,long,lat,pic_url,thumb_url
Welcome to the reserve,"The reserve is managed jointly. The Kendall Frost Mission Bay Reserve is part of the University of California Natural Reserve System (UC NRS) and is managed by the University of California San Diego (UCSD). The adjacent Northern Wildlife Reserve is managed by the City of San Diego. <i><a href=""http://nrs.ucsd.edu/kendall.html"" style=""color:yellow"" target=""_blank"">More Info</a></i>",R,-117.2296755,32.7920955,http://downloads.esri.com/blogs/places/missionbaymarsh/marsh_intro_picture.jpg,http://downloads.esri.com/blogs/places/missionbaymarsh/marsh_intro_picture_thumbnail.jpg
"Hecla Mine, Burke ",View up canyon at Hecla Mine,B,"47.519908,-115.823171",,https://raw.githubusercontent.com/uidaholib/cdil-coll/master/images/cdil-bs01.jpg,https://raw.githubusercontent.com/uidaholib/cdil-coll/master/images/cdil-bs01_sm.jpg
"Morrow Retail Store, Wallace",Store display window,B,"47.472385,-115.926844",,https://raw.githubusercontent.com/uidaholib/cdil-coll/master/images/cdil-bs11.jpg,https://raw.githubusercontent.com/uidaholib/cdil-coll/master/images/cdil-bs11_sm.jpg
"Golconda Mine, Wallace",Group of men and lumber,B,"47.486931,-115.900816",,https://raw.githubusercontent.com/uidaholib/cdil-coll/master/images/cdil-bs12.jpg,https://raw.githubusercontent.com/uidaholib/cdil-coll/master/images/cdil-bs12_sm.jpg
"Wallace, Idaho Bird's-eye view",bird's-eye view of Wallace looking east,B,"47.472385,-115.926844",,https://raw.githubusercontent.com/uidaholib/cdil-coll/master/images/cdil-bs13.jpg,https://raw.githubusercontent.com/uidaholib/cdil-coll/master/images/cdil-bs13_sm.jpg
Manual Training,training ,B,"47.471731, -115.925669",,https://raw.githubusercontent.com/uidaholib/cdil-coll/master/images/cdil-bs08.jpg,https://raw.githubusercontent.com/uidaholib/cdil-coll/master/images/cdil-bs08_sm.jpg
"Morning Mill, Mullan",Mill ,B,"47.495166, -115.822999",,https://raw.githubusercontent.com/uidaholib/cdil-coll/master/images/cdil-bs09.jpg,https://raw.githubusercontent.com/uidaholib/cdil-coll/master/images/cdil-bs09_sm.jpg
"Morning Mill, Mullan",Mill ,B,"47.495166, -115.822999",,https://raw.githubusercontent.com/uidaholib/cdil-coll/master/images/cdil-bs10.jpg,https://raw.githubusercontent.com/uidaholib/cdil-coll/master/images/cdil-bs10_sm.jpg
Jack Ass Prairie,"Jack Ass Prairie, Milo Gulch",B,"47.527708, -116.129338",,https://raw.githubusercontent.com/uidaholib/cdil-coll/master/images/cdil-bs05.jpg,https://raw.githubusercontent.com/uidaholib/cdil-coll/master/images/cdil-bs05_sm.jpg
Wallace Fire Dept.,"Wallace, Idaho Fire Dept.",B,"47.472456,-115.922248",,https://raw.githubusercontent.com/uidaholib/cdil-coll/master/images/cdil-bs06.jpg,https://raw.githubusercontent.com/uidaholib/cdil-coll/master/images/cdil-bs06_sm.jpg
Silver Cliff Mine,Near Silver Cliff Mine Above Pottsville,B,	47.462326-116.694533,,https://raw.githubusercontent.com/uidaholib/cdil-coll/master/images/cdil-bs07.jpg,https://raw.githubusercontent.com/uidaholib/cdil-coll/master/images/cdil-bs07_sm.jpg
"Northern Pacific Railroad, Wallace, Idaho",Wreck of N.P. Train in Wallace,B,"47.473562,-115.923761",,https://raw.githubusercontent.com/uidaholib/cdil-coll/master/images/cdil-bs02.jpg,https://raw.githubusercontent.com/uidaholib/cdil-coll/master/images/cdil-bs02_sm.jpg
Dog ,Comic Pose of dog wearing eyeglasses and holding pipe in mouth; taken for Ernest R. Denny,B,"47.472197, -115.923846",,https://raw.githubusercontent.com/uidaholib/cdil-coll/master/images/cdil-bs03.jpg,https://raw.githubusercontent.com/uidaholib/cdil-coll/master/images/cdil-bs03_sm.jpg
"Brayton, H. L. -Woman in casket",woman in casket,B,"47.472113, -115.923909",,https://raw.githubusercontent.com/uidaholib/cdil-coll/master/images/cdil-bs04.jpg,https://raw.githubusercontent.com/uidaholib/cdil-coll/master/images/cdil-bs04_sm.jpg
